#deltat w1 w2 w3 s1 s2 s3
1.63 -1.78137 1.88423 1.81041 7.97819 16.6071 16.3637
1.64 -1.76029 1.78439 1.8879 8.01831 16.2918 16.6326
1.65 -1.79748 1.77182 1.92305 7.96525 16.2639 16.7633
1.66 -1.7311 1.68002 1.95802 8.07817 15.9808 16.8945
1.67 -1.82 1.67062 1.91674 7.94215 15.9636 16.769
1.68 -1.94063 1.59556 1.98512 7.75904 15.7383 17.0135
1.69 -1.86498 1.50629 1.88652 7.88364 15.4722 16.6947
1.7 -1.87756 1.44832 1.96087 7.87012 15.3061 16.9583
1.71 -1.77832 1.47916 1.83705 8.03431 15.4131 16.5568
1.72 -1.58337 1.53234 1.94961 8.36045 15.5904 16.9473
1.73 -1.70993 1.43269 1.99784 8.158 15.295 17.1252
1.74 -1.69827 1.53624 2.18073 8.18359 15.6275 17.7775
1.75 -1.80194 1.6788 2.22038 8.02208 16.0924 17.9333
1.76 -1.78762 1.58766 2.3829 8.05151 15.8143 18.5407
1.77 -1.59757 1.77242 2.37405 8.37014 16.4228 18.5227
1.78 -1.55813 1.66872 2.30227 8.44318 16.0986 18.2733
1.79 -1.57685 1.8889 2.24816 8.41836 16.8368 18.091
1.8 -1.67379 1.8596 2.19045 8.26333 16.7518 17.8978
1.81 -1.73277 1.87634 2.25549 8.17296 16.8214 18.1466
1.82 -1.5785 1.76151 2.35192 8.4358 16.4527 18.5148
1.83 -1.56016 1.87571 2.25775 8.47358 16.8462 18.1839
1.84 -1.54492 1.88338 2.14933 8.50624 16.8856 17.8081
1.85 -1.55377 1.93626 2.10521 8.498 17.0788 17.6657
1.86 -1.47624 1.97387 2.10366 8.63771 17.2215 17.6744
1.87 -1.50843 1.97315 2.13366 8.58914 17.2328 17.795
1.88 -1.59916 1.91192 2.14234 8.44144 17.0367 17.8402
1.89 -1.62967 1.84573 2.18824 8.3968 16.8261 18.0191
1.9 -1.40883 1.77597 2.21852 8.78301 16.6062 18.1431
1.91 -1.15207 1.82421 2.21557 9.25321 16.7807 18.1469
1.92 -1.23756 1.73466 2.12951 9.10362 16.496 17.8515
1.93 -1.34762 1.71266 2.05707 8.91256 16.4367 17.6088
1.94 -1.39071 1.81067 1.92817 8.84314 16.7755 17.1744
1.95 -1.42006 1.7032 1.84906 8.79843 16.4319 16.9183
1.96 -1.32456 1.76925 1.98916 8.97526 16.6637 17.413
1.97 -1.37987 1.63335 1.77034 8.88364 16.2299 16.6807
1.98 -1.6003 1.58088 1.83688 8.50731 16.0733 16.9177
1.99 -1.64997 1.66025 1.81851 8.42995 16.3436 16.8691
